uid,mapping_days,Map_changes,Reverted_changes,restored_changesets,restored_map_edits,revert_contributors,Discussed_changesets,dis_responses,com_changesets,num_comments,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Created,Relations_Modified,Relations_Deleted,Overall,comments,Unique_comments,Median_length,Registered_timeStamp,Sun,Mon,Tue,Wed,Thu,Fri,Sat,years_passed,average_year,efficient_year,iD,JOSM,JOSM (Reverter),Potlatch,Merkaartor,Vespucci,Go Map!!,StreetComplete,OsmAnd,Maps.Me,Level0,Every Door,RapiD,Pic4Review,Rosemary,Mapzen,unKnowEditors,acc
9451067,1750,929410,450,388,448,235,65,0,0,0,0,548341,0,0,340643,0,0,40300,0,360754,360754,5,83.0,1550361600,49074,58979,52397,55930,47296,44453,52625,5,350.0,1.0,0.000831592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000554394,0.0,0.0,0.0,0.0,0.0,99.99861401,0.7633974850812864
1679,5013,15639595,4653,1103,7158,574,57,4,68,71,10472676,1276170,1230654,1185455,1216766,193158,7237,21810,902,347134,337777,21941,6.0,1141776000,63813,48484,41684,43547,42937,44539,62130,18,278.5,1.0,3.983524038,78.14532539,0.05210248,2.331585971,0.001157833,1.616334706,10.60719651,0.0,0.0,0.0,0.059338935,0.0,0.030103655,0.0,0.0,0.094652838,3.078677639,0.9024488554759414
109705,3348,5774821,11751,8206,81868,5172,92,61,2463,3090,3523755,746524,751805,189210,395024,122781,6353,26218,5785,170678,169654,12010,20.0,1237680000,26872,22987,23565,23548,23884,22448,27374,15,223.2,1.0,8.868779341,88.85658858,1.053797598,1.2085265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012307981,0.9121521973902956
474183,3126,2185605,5202,14102,27371,9205,110,69,157,204,213890,436673,931924,30693,447721,120650,144,3413,147,141191,141162,339,23.0,1308528000,19292,18540,17992,18890,22526,20528,23423,13,240.4615385,1.0,0.00070826,99.23295394,0.762088235,0.0,0.0,0.00070826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003541302,0.9304530712993152
722137,15,20284959,1383,1084,2424,633,3,0,0,0,0,1237633,17123751,0,654033,1127520,0,40115,25004,136236,136236,1,38.0,1341792000,9402,8171,15819,19362,37141,32585,13756,12,1.25,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.9494667032485464
334075,4313,2178375,2079,3967,36217,2500,260,174,34664,67404,811059,657719,250545,119374,283622,36034,3086,14208,1034,130810,128228,30296,24.0,1281916800,20940,19317,18337,18996,18873,17582,16765,13,331.7692308,1.0,0.000764468,74.78480239,3.840684963,21.36763244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00611574,0.9484888653426377
1069176,2744,1242156,2084,2391,21437,1727,44,6,8,8,291119,284167,238790,90508,238442,32974,18133,37672,10248,121607,121167,1309,33.0,1353369600,16606,17907,17495,18019,18085,19037,14458,11,249.4545455,1.0,0.013157137,97.36034932,2.057447351,0.56904619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952223788803222
2226712,1011,3513181,1084,880,1602,623,59,46,100,114,1887762,661239,390327,266461,249710,48788,1164,7327,182,112070,112067,1258,87.0,1406764800,1684,21247,24180,21284,21386,20196,2093,10,101.1,0.6,0.442738552,99.25734178,0.299919664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9218956130312876
616774,3400,4170543,13676,2886,111421,1737,637,291,6008,7377,204942,454254,2845193,35783,376461,236337,3349,15960,5601,106166,106161,34648,18.0,1330819200,23903,10286,15046,10190,11749,13870,21122,12,283.3333333,1.0,0.143172014,9.34197389,0.369233088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.12678259,0.0,0.0,0.0,0.0,0.0,0.018838423,0.8978921515280482
2512300,579,3291829,5103,897,14787,618,125,91,201,218,1284875,1294107,307111,157909,212472,29497,616,5007,25,103658,103617,1027,85.0,1418083200,482,17945,24141,19811,22772,18211,296,9,64.33333333,0.777777778,0.009651951,99.89479374,0.095554312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8729000317267612
1240849,1167,6411199,1947,967,3154,608,49,35,109,121,4128054,890505,536437,496498,287457,67433,1497,2854,6,102882,102874,719,77.0,1361836800,227,17004,22142,17544,19007,25516,1442,11,106.0909091,1.0,0.024299683,99.94070877,0.01457981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020411734,0.8789707484198801
322785,4564,1888449,1615,4735,17043,3326,194,108,4168,5219,532430,554298,388552,83957,269299,50962,2445,6051,638,101619,101492,12272,29.0,1279756800,14619,15814,14644,14448,14130,14507,13457,14,326.0,1.0,0.009840776,97.04087858,2.859729575,0.077742132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011808931,0.9389317536009418
204049,2450,2653000,1826,990,13368,351,193,131,382,753,1051097,889640,282200,107201,272565,28006,3734,17987,457,97022,93430,478,16.0,1259625600,10080,23987,11546,13910,15477,12153,9869,14,175.0,1.0,0.002061388,63.97930366,0.241182412,0.001030694,0.0,0.0,0.0,0.009276247,0.0,0.0,0.007214858,0.0,0.0,0.0,0.0,0.002061388,35.75786935,0.949446561444068
5359,3504,2132795,81159,2588,147909,2174,334,118,18920,20803,337780,584357,537477,43801,493284,102009,382,28006,1499,81482,80992,21118,25.0,1167523200,13743,11438,10144,10578,10914,10365,14300,17,206.1176471,1.0,8.959420468,84.05304193,6.066670759,0.78948984,0.121554423,0.0,0.002455645,0.0,0.0,0.0,0.0,0.00491129,0.0,0.0,0.001227822,0.0,0.001227822,0.8591508578729545
1722488,2888,1428259,43522,1007,184525,569,389,166,4568,6233,113985,199181,652437,25245,327788,95757,406,8424,770,70248,70192,19037,26.0,1377216000,10614,9490,9959,10433,10124,9614,10014,10,288.8,1.0,13.03809361,19.86391072,0.566564173,0.009964697,0.0,12.20390616,0.0,12.71210568,0.001423528,0.0,0.710340508,0.083988156,0.001423528,0.0,0.0,0.0,40.80827924,0.9040688605211084
17497,5791,45071000,10106,1093,9046,388,112,104,190,269,36965068,2917878,2873400,1547071,613764,63207,22217,87628,588,69704,57501,45160,11.0,1193356800,10289,9989,9655,9927,9854,9854,10136,16,361.9375,1.0,0.004403347,84.06428886,0.030823426,15.88874211,0.0,0.010274475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001467782,0.9439859788314338
519916,1718,3280438,578,919,3612,777,113,44,44,69,1933447,643789,159640,398106,123950,17248,1872,1380,1006,69515,69502,10998,76.0,1315612800,8083,10044,12215,13275,7675,9613,8610,12,143.1666667,0.833333333,0.165930986,96.97618971,0.0,0.006443922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004832941,0.0,2.846602442,0.9151016871099756
172061,2259,3601470,976,111,234,90,46,12,334,372,2539698,151260,507064,283217,99466,19321,190,1125,35,61129,56688,6542,17.0,1252886400,11345,10799,5256,8416,7157,7572,10584,14,161.3571429,1.0,48.86616492,21.71138743,0.017997382,9.857657068,0.0,6.744109948,0.248691099,7.828861257,0.0,0.0,0.0,0.091623037,2.783049738,0.0,0.001636126,0.0,1.84882199,0.7990731065854608
596047,3411,16823491,42323,155,249,115,249,52,101,134,15108483,162504,798691,610300,118257,20987,2221,1788,177,57644,56324,3206,23.0,1327795200,10065,7692,6983,6886,7716,7862,10440,12,284.25,1.0,78.9844387,10.15214337,0.0,2.869385702,0.0,0.0,0.0,0.765053866,1.700119702,0.0,0.0,2.508543969,0.32267578,0.00867408,0.036431136,0.0,2.652533699,0.9300718700072332
18069,3911,1784007,1756,1844,9677,1078,138,71,200,232,788127,391514,195286,100240,254574,14050,8654,19426,956,55110,54113,18284,32.0,1194048000,8442,9225,7817,7853,7389,7190,7194,16,244.4375,1.0,1.434622468,74.02946593,0.068139963,1.331491713,0.0,0.775322284,0.005524862,19.23941068,0.738489871,0.0,0.165745856,0.007366483,0.001841621,0.007366483,0.001841621,0.014732965,2.178637201,0.6640190073257558
37392,2660,5965723,1074,333,6581,181,34,17,17,18,2557545,1738038,1106620,146645,327106,74436,3983,12822,227,54682,53547,8385,13.0,1210204800,8709,7204,7271,7537,7383,7391,9187,16,166.25,1.0,1.769342422,93.25518585,0.031234498,4.905653444,0.0,0.0,0.0,0.036746468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001837323,0.559378288297459
1236135,1937,4228749,4240,578,9549,192,56,26,181,409,2680590,471317,670858,99568,251240,25611,4032,25428,214,53306,5359,514,0.0,1361404800,8134,6838,7901,8097,8413,6631,7292,11,176.0909091,0.909090909,0.151952876,96.97782614,0.146324992,2.690128691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033767306,0.9046954904123364
1337142,3325,519249,174,87,126,61,64,28,78,97,216395,133200,31371,32847,100909,1733,526,2128,30,52663,52592,2898,22.0,1365292800,7014,7442,6687,7020,6946,7108,10446,11,302.2727273,1.0,0.039911814,65.16078759,0.0,0.057016877,0.0,10.631747,0.0,23.66010339,0.366808575,0.0,0.0,0.003801125,0.0,0.011403375,0.0,0.0,0.068420252,0.9102604803950168
3526564,404,878275,1396,415,977,306,58,37,87,109,498764,152774,45123,85860,81958,6720,1396,5521,65,52430,52422,898,110.0,1452643200,116,10299,11609,6870,11310,12037,189,8,50.5,0.25,1.939729163,97.84474537,0.215525463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9008014062557724
