uid,Map_changes,Reverted_changes,restored_map_edits,nodes_Created,nodes_Modified,nodes_Deleted,Ways_Created,Ways_Modified,Ways_Deleted,Relations_Deleted,Median_length,Registered_timeStamp,average_year,efficient_year,acc,class,weekday,weekend
1679,15639595,4653,7158,10472676,1276170,1230654,1185455,1216766,193158,902,6,1141776000,278.5,1,0.902448855,1,221191,125943
616774,4170543,13676,111421,204942,454254,2845193,35783,376461,236337,5601,18,1330819200,283.3333333,1,0.897892152,1,61141,45025
1337142,519249,174,126,216395,133200,31371,32847,100909,1733,30,22,1365292800,302.2727273,1,0.91026048,1,35203,17460
290680,851704,1238,473,2,649583,3,2,189028,0,0,25,1274400000,351,1,0.886032096,1,38241,11481
665748,4159613,6064,5935,929054,2348723,390218,56304,234157,35662,41899,27,1335052800,182.5833333,1,0.829879995,1,21549,12686
2888253,6346648,11119,9466,1457240,977666,3500172,86617,287857,24850,1290,37,1430697600,90.55555556,0.888888889,0.940447961,1,24398,8515
85218,142439,4678,2703,9279,49221,956,1337,75226,157,470,15,1229212800,147.6666667,1,0.949436438,1,22191,8455
416346,1472527,1412,1517,917288,195345,115657,101916,109858,24586,249,0,1299024000,264.6923077,1,0.86767073,1,22207,7357
274857,11531781,439217,504540,6252465,3852748,459020,139110,548646,119590,1426,8,1272153600,271.5714286,1,0.886860126,1,19285,9580
1468043,2397939,26010,2190,1100170,567120,102847,237168,333690,16443,1853,20,1369008000,247.0909091,1,0.787997747,0,14926,10604
922338,3240758,1234,1147,1701026,856737,306689,142541,197199,25021,276,39,1348617600,194.7272727,1,0.864187425,1,21956,3500
83557,5204483,1928,648,3429920,433123,516038,515655,243964,41254,820,0,1228348800,206,1,0.90931303,1,16591,8859
131968,2580241,5193,11254,1338628,515905,244898,200193,235796,32181,332,28,1244160000,296.9333333,1,0.917091945,1,18084,6821
571410,1026770,13271,797,523051,245522,93904,65072,69014,11087,703,0,1324166400,123.0833333,1,0.830226274,1,15468,8469
499500,1040279,148,1521,854949,50416,12257,72269,46213,1753,33,8,1312243200,162.3846154,0.769230769,0.916928851,2,14100,8321
1299206,2886840,985,114,2097313,304685,49119,248606,176336,2878,113,29,1364083200,339.3636364,1,0.911853523,1,15700,6553
1330847,4466690,7669,6700,1337638,886032,365903,200863,1611151,49620,574,16,1365120000,241.9090909,1,0.907628838,1,15674,6506
421504,7712028,215,34,6218349,306423,216015,868172,93658,7151,3,18,1299974400,150.5384615,1,0.862175873,1,10840,10410
10216874,1639397,1950,1555,1002328,207140,46223,190380,178940,7347,13,12,1565481600,335,1,0.864079814,1,15278,4252
497849,3454439,1682,27403,1862484,696669,300242,254727,283266,42573,1943,29,1311897600,283.0769231,1,0.933217049,1,12197,7316
1122708,2666677,658,10972,1850567,262785,275958,173039,78997,24321,269,26,1355011200,207.3636364,1,0.906994369,1,14417,4165
15671,659286,3693,4481,142992,162822,101575,16277,54408,3174,184,34,1191715200,151.8125,1,0.847920074,1,14216,2486
4803528,199342,295,253,61969,98749,12923,9466,15827,270,1,36,1477872000,16.57142857,0.285714286,0.91353575,1,16434,0
2500,7237886,38689,5637,4617581,1579164,187250,423848,449648,10458,23,0,1148428800,151,0.777777778,0.904169352,1,12166,3973
436419,3960703,7974,2113,1578811,598257,1505069,64268,133626,63868,2199,34,1302566400,122.9230769,1,0.908925451,1,11112,4930
26139,1727042,1071,10415,1266145,208356,50037,117454,67366,3208,100,23,1201910400,157.3125,1,0.886477152,1,11198,4791
4085780,4020259,1656,3147,2472611,305210,814353,238489,62619,121844,971,18,1465344000,188.875,0.875,0.890272464,1,11298,4373
71862,995693,3422,19585,48711,110370,55955,5414,766692,5774,276,18,1223337600,70.73333333,1,0.938364397,1,7788,7119
8570285,746446,3711,377,436804,149113,58103,78592,15448,4293,251,21,1531958400,139.6666667,1,0.872372463,1,12108,2524
3450290,17154468,1475,6892,14758829,522195,719278,855659,290496,28995,300,6,1449792000,275.375,1,0.892577556,1,10182,3933
4803527,219646,1754,199,68853,115053,12920,6893,15324,500,0,36,1477872000,15.85714286,0.285714286,0.8918814,1,13404,0
4803525,196309,492,183,71662,85598,12829,10481,15384,226,0,37,1477872000,16.42857143,0.285714286,0.764748814,0,13258,0
610947,1105158,215,733,664544,145389,138299,93862,45813,14844,82,14,1330214400,144.0833333,1,0.777848198,0,6796,6379
697239,662749,10,16,363909,136874,22144,79285,57345,2762,24,22,1338940800,81,0.75,0.881140225,1,9630,3493
413914,594727,286,919,455873,64141,19215,28202,22302,1585,13,0,1298505600,44.84615385,0.692307692,0.9265516,1,9606,3339
47892,999471,691,1272,505522,184921,135538,90270,67157,11446,122,24,1214438400,209.25,1,0.921477887,1,8649,4251
110639,4472584,931,5442,3202140,421228,483289,171884,137118,43839,770,21,1237939200,169.1333333,1,0.86137042,1,7116,5622
316694,339888,157,200,198007,67727,11300,23897,35471,1499,109,23,1278720000,57.28571429,0.928571429,0.88922632,1,6957,5610
2137840,4108810,760,3517,3025964,258674,130162,406450,276099,6619,144,35,1403308800,204.4,1,0.869623821,1,7617,4659
311318,3368412,692,51777,2237194,424835,215230,289715,142451,26333,1638,16,1277769600,147.5714286,1,0.907806057,1,8953,3286
625303,2208753,4498,595,1654432,268461,68983,131997,70939,9166,81,23,1331510400,166.5833333,1,0.919032101,1,7777,4010
720609,883950,672,976,547427,107450,62068,69816,83586,8959,145,4,1341705600,151.3333333,1,0.949126558,1,8638,2805
1737608,4887116,2241,24166,4232794,231201,38092,330453,47605,3836,397,52,1378512000,220.9,0.9,0.937442904,1,7115,2777
3437781,14329,2827,527,4012,5254,476,770,3524,196,0,38,1449360000,130.625,1,0.860633532,1,6184,3680
6149968,873660,10,34,727250,42774,20370,53780,26251,2611,5,1,1497052800,101,1,0.848785618,1,6496,3198
51722,1147020,108,23,799327,181390,14922,108559,39558,1378,8,0,1215820800,108.25,0.6875,0.870142078,1,7553,1989
1696339,305166,32,96,212550,32629,5557,34966,18013,556,24,18,1375228800,132.7272727,0.818181818,0.872479199,1,6053,3290
2318,1721870,29,35,1451593,110065,22131,115053,20544,1989,1,29,1147392000,57.27777778,1,0.946399485,1,6454,2709
22925,10878993,568,1671,6671871,1294902,2268232,325336,243256,80539,1793,23,1199059200,106.5625,1,0.811018538,1,7292,1825
550560,4958179,737,569,3676142,424352,230285,440001,157824,25006,96,29,1320624000,104.8333333,1,0.922110034,1,5611,3302
27454,1011936,171,130,596519,236462,59808,48934,65900,2213,18,6,1202947200,96,1,0.911105293,1,6447,2412
4814295,3469717,1230,97,2437054,397825,43146,535740,48091,6772,27,20,1478217600,119.1428571,1,0.875018552,1,4840,3671
10084645,499194,46,1888,346722,62886,10737,49156,27764,1155,5,16,1560816000,169.8,1,0.878174835,1,6212,2204
6921384,1201754,1332,14420,586291,107310,185243,98149,98907,34237,1642,17,1509840000,244.8333333,1,0.90715816,1,6074,1995
261189,434639,465,772,158194,242056,202,9816,19871,13,2,8,1270684800,152,1,0.935320162,1,4704,2326
288524,2879746,111,250,2431974,80244,9517,309746,46518,594,2,0,1274054400,81.64285714,0.571428571,0.940040825,2,5392,1256
25561,49578,208,46,21787,4907,788,2729,18447,45,6,10,1201478400,64.75,0.9375,0.934476804,1,6139,454
3627342,186169,142,25,66074,38631,945,2434,76862,108,4,17,1455408000,80.375,1,0.906601081,2,4264,2180
10394095,728150,307,950,206969,90290,265648,28100,117872,2711,163,29,1571443200,176,1,0.851822917,1,3608,2815
336460,584043,78,735,359268,104251,34860,41188,38176,3679,74,20,1282348800,92.38461538,0.769230769,0.766714564,0,5589,642
4803512,86160,43,218,25379,44997,4993,3484,7170,120,0,36,1477872000,13.85714286,0.285714286,0.839710518,1,6224,0
1915697,11157,57,5,1851,2830,1965,212,3890,158,18,19,1391385600,181,1,0.75727408,1,5933,259
2507347,1463352,899,847,950465,92319,104483,128410,86153,14002,158,2,1417910400,191.3333333,1,0.855797303,1,4244,1928
6087,17531,49,25,6802,4242,743,622,4881,59,2,27,1171497600,68.11764706,1,0.622524776,0,3479,2678
1778799,9550073,785896,2501434,2233,1616508,6444607,171,1066793,343109,2021,88,1382054400,131.9,1,0.872459669,1,3552,2569
1420318,460677,1697,2064,206415,70652,73465,43741,54116,6110,646,22,1367798400,121,1,0.718325334,0,4062,2023
8772934,89902,37,35,39211,22668,2943,5192,16794,256,24,29,1535932800,183.4,1,0.888919071,1,3994,2074
2188716,941390,430,208,671360,93742,75553,59875,37658,3333,175,14,1405382400,95.8,0.9,0.904625422,1,3888,2063
12640051,68846,120,112,45294,4536,4680,6124,6115,358,10,58,1612915200,206,1,0.91013033,1,4919,708
24247,2161466,63525,2750,1348068,346662,206691,190112,47131,18563,108,22,1200268800,84.5625,1,0.853891863,1,3876,1664
374193,878110,77,32,429073,268936,121380,18433,35010,4610,19,59,1290470400,70.92307692,1,0.904546345,1,2909,2460
10652810,575149,101,20,357922,187414,5787,8270,14992,142,11,46,1578873600,135.25,0.75,0.886794345,1,5151,149
10348274,477926,28,189,305172,68338,52088,19728,26040,4470,17,3,1570060800,73.75,0.75,0.821326307,1,3941,1234
